term	search	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm	hprec_strict	hrecall_strict	hf1_strict	hprec_soft	hrecall_soft	hf1_soft
boolean	search_basic	False	False	overlap	1,1,1,1	0.3965	0.2450	0.1823	0.1198	0.2746	0.2964	0.6539	0.5040	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	overlap	3,3,4,1	0.4666	0.2396	0.1745	0.1175	0.2936	0.2955	0.6508	0.5048	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	False	overlap	1,1,1,4	0.3919	0.2467	0.1830	0.1212	0.2739	0.2921	0.6535	0.5018	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	cosine	1,1,1,1	0.3200	0.2621	0.2102	0.1420	0.2641	0.2805	0.6877	0.5112	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	cosine	3,3,4,1	0.3399	0.2283	0.2003	0.1428	0.2562	0.2802	0.6886	0.5172	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	cosine	1,1,1,4	0.3090	0.2434	0.2173	0.1435	0.2566	0.2716	0.6824	0.4996	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	dice	1,1,1,1	0.3422	0.2652	0.2208	0.1419	0.2761	0.2826	0.6678	0.4878	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	dice	3,3,4,1	0.2710	0.2421	0.1963	0.1418	0.2365	0.2470	0.6741	0.4822	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	dice	1,1,1,4	0.3514	0.2598	0.2236	0.1431	0.2783	0.2838	0.6661	0.4875	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	jaccard	1,1,1,1	0.3422	0.2652	0.2208	0.1419	0.2761	0.2826	0.6678	0.4878	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	jaccard	3,3,4,1	0.2710	0.2421	0.1963	0.1418	0.2365	0.2470	0.6741	0.4822	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	jaccard	1,1,1,4	0.3514	0.2598	0.2236	0.1431	0.2783	0.2838	0.6661	0.4875	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	overlap	1,1,1,1	0.4508	0.2642	0.2104	0.1431	0.3085	0.3242	0.7129	0.5432	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	overlap	3,3,4,1	0.4210	0.2419	0.2009	0.1426	0.2879	0.2968	0.7098	0.5351	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	True	overlap	1,1,1,4	0.4235	0.2690	0.2143	0.1435	0.3023	0.3143	0.7104	0.5374	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	False	cosine	1,1,1,1	0.3358	0.2662	0.1745	0.1223	0.2588	0.2672	0.6637	0.4967	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	False	cosine	3,3,4,1	0.2956	0.2283	0.1640	0.1250	0.2293	0.2635	0.6673	0.4972	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	False	cosine	1,1,1,4	0.3134	0.2495	0.1779	0.1219	0.2469	0.2577	0.6560	0.4875	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	True	False	dice	1,1,1,1	0.3108	0.2372	0.1701	0.1097	0.2394	0.2450	0.5869	0.4278	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
